Sujeto,IProd1,IProd2,IProd3,IProd4,IProd5,IProd6,IProd7,IProd8,IProd9,IProd10,IProd11,IProd12,IProd13,PI1,PI2,PI3,PI4,PI5,PI6,PI7,PI8,PI9,PI10,PI11,PI12,PI13,PI14,PI15,PI16,IA1,IA2,IA3,IA4,IA5,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12
28,Ni de acuerdo ni en desacuerdo,0,Totalmente de acuerdo,2,De acuerdo,Totalmente de acuerdo,2,Totalmente de acuerdo,2,De acuerdo,Totalmente de acuerdo,De acuerdo,3,Totalmente de acuerdo,2,De acuerdo,2,Totalmente de acuerdo,3,Totalmente de acuerdo,4,De acuerdo,2,De acuerdo,1,Totalmente de acuerdo,3,De acuerdo,2,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo
29,De acuerdo,3,De acuerdo,3,Totalmente de acuerdo,Totalmente de acuerdo,3,Totalmente de acuerdo,4,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,2,De acuerdo,4,De acuerdo,2,Totalmente de acuerdo,4,Totalmente de acuerdo,2,De acuerdo,3,Totalmente de acuerdo,2,De acuerdo,1,Totalmente de acuerdo,2,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
30,Totalmente de acuerdo,1,De acuerdo,2,En desacuerdo,De acuerdo,2,Ni de acuerdo ni en desacuerdo,2,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,2,De acuerdo,1,Ni de acuerdo ni en desacuerdo,2,De acuerdo,2,Ni de acuerdo ni en desacuerdo,1,De acuerdo,2,Ni de acuerdo ni en desacuerdo,0,Totalmente de acuerdo,2,De acuerdo,2,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
31,Totalmente de acuerdo,2,De acuerdo,2,De acuerdo,De acuerdo,3,De acuerdo,2,Totalmente de acuerdo,De acuerdo,De acuerdo,3,Totalmente de acuerdo,3,Totalmente de acuerdo,2,De acuerdo,2,Totalmente de acuerdo,2,Totalmente de acuerdo,2,Totalmente de acuerdo,4,Totalmente de acuerdo,3,Totalmente de acuerdo,3,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo
32,Totalmente en desacuerdo.,0,Totalmente de acuerdo,7,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,5,Ni de acuerdo ni en desacuerdo,5,Totalmente de acuerdo,De acuerdo,De acuerdo,3,De acuerdo,3,De acuerdo,3,De acuerdo,2,Ni de acuerdo ni en desacuerdo,0,Ni de acuerdo ni en desacuerdo,0,De acuerdo,3,En desacuerdo,0,En desacuerdo,0,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Totalmente en desacuerdo.,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo.,Ni de acuerdo ni en desacuerdo
33,Totalmente de acuerdo,3,De acuerdo,5,Totalmente de acuerdo,De acuerdo,5,De acuerdo,3,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,2,Ni de acuerdo ni en desacuerdo,0,Totalmente de acuerdo,3,Ni de acuerdo ni en desacuerdo,1,De acuerdo,1,Totalmente de acuerdo,3,De acuerdo,2,Totalmente de acuerdo,3,Totalmente de acuerdo,1,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo
34,En desacuerdo,2,De acuerdo,4,En desacuerdo,De acuerdo,4,De acuerdo,4,De acuerdo,De acuerdo,De acuerdo,4,De acuerdo,4,De acuerdo,4,Totalmente de acuerdo,4,De acuerdo,4,De acuerdo,4,De acuerdo,4,De acuerdo,4,De acuerdo,4,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
35,Totalmente en desacuerdo.,0,En desacuerdo,0,De acuerdo,De acuerdo,1,De acuerdo,1,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,2,De acuerdo,3,En desacuerdo,0,De acuerdo,3,De acuerdo,1,De acuerdo,1,De acuerdo,2,En desacuerdo,0,De acuerdo,1,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
36,De acuerdo,3,Totalmente de acuerdo,5,De acuerdo,Totalmente de acuerdo,4,De acuerdo,4,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,3,De acuerdo,2,De acuerdo,1,Totalmente de acuerdo,2,Totalmente de acuerdo,5,Totalmente de acuerdo,2,Totalmente de acuerdo,3,Ni de acuerdo ni en desacuerdo,0,De acuerdo,1,En desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo
37,Totalmente en desacuerdo.,0,De acuerdo,1,De acuerdo,De acuerdo,2,De acuerdo,1,De acuerdo,De acuerdo,De acuerdo,1,De acuerdo,2,De acuerdo,1,En desacuerdo,0,De acuerdo,1,De acuerdo,1,En desacuerdo,0,En desacuerdo,0,En desacuerdo,0,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo
38,Totalmente de acuerdo,5,Totalmente de acuerdo,4,En desacuerdo,Totalmente de acuerdo,,Totalmente de acuerdo,5,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,3,De acuerdo,4,Ni de acuerdo ni en desacuerdo,3,Ni de acuerdo ni en desacuerdo,2,Totalmente de acuerdo,2,De acuerdo,2,Ni de acuerdo ni en desacuerdo,1,De acuerdo,1,De acuerdo,2,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
39,En desacuerdo,0,De acuerdo,0,De acuerdo,En desacuerdo,0,En desacuerdo,0,En desacuerdo,En desacuerdo,En desacuerdo,0,En desacuerdo,0,En desacuerdo,0,En desacuerdo,0,Totalmente en desacuerdo.,0,En desacuerdo,0,En desacuerdo,0,Ni de acuerdo ni en desacuerdo,0,En desacuerdo,0,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
40,De acuerdo,1,De acuerdo,2,De acuerdo,De acuerdo,1,De acuerdo,1,De acuerdo,De acuerdo,De acuerdo,2,De acuerdo,1,De acuerdo,1,De acuerdo,2,De acuerdo,3,De acuerdo,2,De acuerdo,2,De acuerdo,2,De acuerdo,2,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
41,Totalmente de acuerdo,3,Totalmente de acuerdo,3,De acuerdo,Totalmente de acuerdo,3,De acuerdo,3,De acuerdo,De acuerdo,Totalmente de acuerdo,3,Totalmente de acuerdo,3,Totalmente de acuerdo,3,De acuerdo,3,Totalmente de acuerdo,2,De acuerdo,2,De acuerdo,2,De acuerdo,1,Totalmente de acuerdo,1,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
42,Totalmente de acuerdo,1,Totalmente de acuerdo,1,Totalmente de acuerdo,Totalmente de acuerdo,3,Totalmente de acuerdo,3,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,3,De acuerdo,2,De acuerdo,2,Totalmente de acuerdo,3,De acuerdo,2,Totalmente de acuerdo,3,Totalmente de acuerdo,2,Totalmente de acuerdo,2,Totalmente de acuerdo,2,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
43,De acuerdo,1,Totalmente de acuerdo,1,De acuerdo,Totalmente de acuerdo,1,De acuerdo,1,Totalmente de acuerdo,De acuerdo,De acuerdo,1,Totalmente de acuerdo,1,Totalmente de acuerdo,1,De acuerdo,1,De acuerdo,1,De acuerdo,1,De acuerdo,1,De acuerdo,1,Totalmente de acuerdo,1,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
44,Ni de acuerdo ni en desacuerdo,0,De acuerdo,0,Ni de acuerdo ni en desacuerdo,De acuerdo,0,Ni de acuerdo ni en desacuerdo,0,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,1,Ni de acuerdo ni en desacuerdo,0,Ni de acuerdo ni en desacuerdo,0,Ni de acuerdo ni en desacuerdo,0,En desacuerdo,0,Ni de acuerdo ni en desacuerdo,1,Ni de acuerdo ni en desacuerdo,0,Ni de acuerdo ni en desacuerdo,0,Ni de acuerdo ni en desacuerdo,1,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
45,De acuerdo,2,Totalmente de acuerdo,4,Totalmente de acuerdo,De acuerdo,2,Ni de acuerdo ni en desacuerdo,2,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,4,De acuerdo,3,Totalmente de acuerdo,3,De acuerdo,1,Ni de acuerdo ni en desacuerdo,1,Totalmente de acuerdo,3,Totalmente de acuerdo,4,Ni de acuerdo ni en desacuerdo,1,Totalmente de acuerdo,4,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo
46,Totalmente de acuerdo,4,Totalmente de acuerdo,3,De acuerdo,Totalmente de acuerdo,3,De acuerdo,3,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,1,Totalmente de acuerdo,4,Totalmente de acuerdo,3,Totalmente de acuerdo,2,De acuerdo,3,De acuerdo,2,De acuerdo,3,Totalmente de acuerdo,3,De acuerdo,2,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo
47,De acuerdo,2,Totalmente de acuerdo,4,De acuerdo,Totalmente de acuerdo,3,De acuerdo,2,Totalmente de acuerdo,De acuerdo,De acuerdo,2,Totalmente de acuerdo,3,Totalmente de acuerdo,3,De acuerdo,2,Ni de acuerdo ni en desacuerdo,1,En desacuerdo,0,Ni de acuerdo ni en desacuerdo,1,Totalmente de acuerdo,2,Totalmente de acuerdo,1,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo
48,De acuerdo,2,Totalmente de acuerdo,2,Ni de acuerdo ni en desacuerdo,En desacuerdo,0,En desacuerdo,0,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,1,Totalmente de acuerdo,1,De acuerdo,2,Ni de acuerdo ni en desacuerdo,0,De acuerdo,4,Totalmente de acuerdo,3,Totalmente de acuerdo,4,Totalmente de acuerdo,5,En desacuerdo,1,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
49,Ni de acuerdo ni en desacuerdo,3,Totalmente de acuerdo,2,En desacuerdo,De acuerdo,3,Totalmente de acuerdo,4,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,2,Totalmente de acuerdo,4,Ni de acuerdo ni en desacuerdo,1,Totalmente de acuerdo,5,De acuerdo,2,Ni de acuerdo ni en desacuerdo,1,En desacuerdo,0,De acuerdo,1,Ni de acuerdo ni en desacuerdo,1,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo
50,De acuerdo,8,De acuerdo,8,De acuerdo,De acuerdo,4,De acuerdo,3,De acuerdo,De acuerdo,Totalmente de acuerdo,3,Totalmente de acuerdo,4,De acuerdo,4,Totalmente de acuerdo,4,De acuerdo,3,De acuerdo,1,Totalmente de acuerdo,3,De acuerdo,1,De acuerdo,1,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo
51,De acuerdo,3,Totalmente de acuerdo,4,De acuerdo,Totalmente de acuerdo,3,De acuerdo,3,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,2,Ni de acuerdo ni en desacuerdo,1,De acuerdo,3,De acuerdo,2,De acuerdo,3,De acuerdo,2,Totalmente de acuerdo,3,Totalmente de acuerdo,3,Totalmente de acuerdo,2,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo
52,De acuerdo,1,Totalmente de acuerdo,2,De acuerdo,De acuerdo,2,Totalmente de acuerdo,1,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,3,De acuerdo,3,Totalmente de acuerdo,2,Totalmente de acuerdo,3,Totalmente de acuerdo,2,De acuerdo,1,De acuerdo,2,De acuerdo,1,De acuerdo,1,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo
53,De acuerdo,3,Totalmente de acuerdo,3,De acuerdo,Totalmente de acuerdo,2,De acuerdo,1,De acuerdo,De acuerdo,De acuerdo,1,De acuerdo,1,De acuerdo,2,Totalmente de acuerdo,3,Totalmente de acuerdo,2,Totalmente de acuerdo,2,De acuerdo,1,De acuerdo,2,Totalmente de acuerdo,3,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo
54,Totalmente de acuerdo,2,Totalmente de acuerdo,3,Totalmente de acuerdo,Totalmente de acuerdo,3,Totalmente de acuerdo,2,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,2,Totalmente de acuerdo,3,De acuerdo,2,Totalmente de acuerdo,3,Totalmente de acuerdo,4,Totalmente de acuerdo,2,Totalmente de acuerdo,3,De acuerdo,1,Totalmente de acuerdo,3,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo
55,Totalmente de acuerdo,2,Totalmente de acuerdo,3,Totalmente de acuerdo,Totalmente de acuerdo,3,Totalmente de acuerdo,2,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,3,Totalmente de acuerdo,2,Totalmente de acuerdo,1,Totalmente de acuerdo,3,Totalmente de acuerdo,3,Totalmente de acuerdo,2,Totalmente de acuerdo,2,Totalmente de acuerdo,2,Totalmente de acuerdo,3,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo
56,Ni de acuerdo ni en desacuerdo,0,Totalmente de acuerdo,2,De acuerdo,Totalmente de acuerdo,2,Totalmente de acuerdo,2,De acuerdo,Totalmente de acuerdo,De acuerdo,3,Totalmente de acuerdo,2,De acuerdo,2,Totalmente de acuerdo,3,Totalmente de acuerdo,4,De acuerdo,2,De acuerdo,1,Totalmente de acuerdo,3,De acuerdo,2,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo
